iter	Passed	Remaining
0	1	340
1	3	343
2	5	337
3	6	329
4	8	327
5	9	322
6	11	318
7	13	316
8	15	318
9	17	324
10	19	331
11	21	335
12	23	339
13	25	343
14	27	343
15	30	345
16	32	345
17	34	345
18	36	346
19	38	346
20	40	345
21	42	344
22	44	344
23	46	342
24	48	340
25	50	338
26	52	337
27	54	336
28	56	334
29	58	332
30	60	330
31	62	329
32	64	326
33	66	325
34	68	323
35	70	321
36	72	320
37	74	318
38	76	317
39	79	316
40	81	315
41	83	314
42	85	313
43	87	311
44	89	309
45	91	307
46	93	304
47	95	302
48	97	300
49	99	298
50	101	297
51	103	295
52	105	293
53	107	291
54	109	288
55	111	286
56	113	284
57	115	283
58	117	281
59	119	278
60	121	276
61	123	274
62	125	272
63	127	270
64	129	267
65	131	266
66	133	264
67	134	262
68	136	259
69	138	257
70	140	256
71	142	254
72	144	252
73	146	250
74	149	248
75	151	246
76	153	245
77	155	242
78	157	241
79	159	239
80	161	237
81	163	235
82	165	233
83	167	231
84	170	230
85	171	227
86	173	225
87	175	223
88	178	222
89	180	220
90	182	218
91	184	217
92	187	215
93	189	213
94	191	211
95	193	209
96	195	207
97	197	205
98	199	203
99	201	201
100	204	200
101	206	198
102	208	196
103	210	194
104	212	192
105	214	190
106	217	188
107	219	186
108	221	185
109	223	183
110	225	181
111	228	179
112	230	177
113	232	175
114	234	173
115	236	171
116	238	169
117	240	167
118	242	165
119	244	163
120	247	161
121	249	159
122	251	157
123	253	155
124	255	153
125	257	151
126	259	149
127	261	146
128	263	144
129	265	142
130	267	140
131	269	138
132	271	136
133	273	134
134	275	132
135	277	130
136	279	128
137	281	126
138	283	124
139	285	122
140	287	120
141	289	118
142	291	116
143	294	114
144	296	112
145	298	110
146	300	108
147	302	106
148	304	104
149	306	102
150	307	99
151	310	97
152	312	95
153	314	93
154	316	91
155	318	89
156	320	87
157	322	85
158	324	83
159	326	81
160	328	79
161	330	77
162	332	75
163	334	73
164	336	71
165	338	69
166	340	67
167	342	65
168	344	63
169	347	61
170	349	59
171	351	57
172	353	55
173	355	53
174	358	51
175	360	49
176	362	47
177	364	45
178	366	43
179	368	40
180	370	38
181	372	36
182	374	34
183	377	32
184	379	30
185	381	28
186	383	26
187	385	24
188	387	22
189	389	20
190	391	18
191	393	16
192	395	14
193	397	12
194	399	10
195	401	8
196	403	6
197	405	4
198	407	2
199	409	0
